Number CIMP- (<=),Number CIMP+ (>=),Total # of Features,TP,FP,TN,FN
8,11,2,19,11,181,13
8,12,1,16,5,187,16
8,13,1,16,5,187,16
8,14,1,16,5,187,16
8,15,1,16,5,187,16
8,16,1,16,5,187,16
8,17,0,0,0,192,32
8,18,0,0,0,192,32
8,19,0,0,0,192,32
8,20,0,0,0,192,32
7,3,1575,32,192,0,0
7,4,631,32,191,1,0
7,5,223,32,151,41,0
7,6,86,32,104,88,0
7,7,31,29,56,136,3
7,8,12,27,32,160,5
7,9,5,22,19,173,10
7,10,3,20,15,177,12
7,11,2,19,11,181,13
7,12,1,16,5,187,16
7,13,1,16,5,187,16
7,14,1,16,5,187,16
7,15,1,16,5,187,16
7,16,1,16,5,187,16
7,17,0,0,0,192,32
7,18,0,0,0,192,32
7,19,0,0,0,192,32
7,20,0,0,0,192,32
6,3,1398,32,192,0,0
6,4,547,32,187,5,0
6,5,188,32,140,52,0
6,6,71,32,88,104,0
6,7,25,29,47,145,3
6,8,11,26,30,162,6
6,9,4,21,14,178,11
6,10,2,19,10,182,13
6,11,1,16,5,187,16
6,12,1,16,5,187,16
6,13,1,16,5,187,16
6,14,1,16,5,187,16
6,15,1,16,5,187,16
6,16,1,16,5,187,16
6,17,0,0,0,192,32
6,18,0,0,0,192,32
6,19,0,0,0,192,32
6,20,0,0,0,192,32
5,3,1185,32,191,1,0
5,4,442,32,172,20,0
5,5,132,32,103,89,0
5,6,44,29,58,134,3
5,7,15,26,27,165,6
5,8,5,22,13,179,10
5,9,2,18,6,186,14
5,10,1,16,5,187,16
5,11,1,16,5,187,16
5,12,1,16,5,187,16
5,13,1,16,5,187,16
5,14,1,16,5,187,16
5,15,1,16,5,187,16
5,16,1,16,5,187,16
5,17,0,0,0,192,32
5,18,0,0,0,192,32
5,19,0,0,0,192,32
5,20,0,0,0,192,32
4,3,934,32,184,8,0
4,4,337,32,137,55,0
4,5,93,31,74,118,1
4,6,27,27,30,162,5
4,7,9,24,15,177,8
4,8,3,17,7,185,15
4,9,1,9,3,189,23
4,10,0,0,0,192,32
4,11,0,0,0,192,32
4,12,0,0,0,192,32
4,13,0,0,0,192,32
4,14,0,0,0,192,32
4,15,0,0,0,192,32
4,16,0,0,0,192,32
4,17,0,0,0,192,32
4,18,0,0,0,192,32
4,19,0,0,0,192,32
4,20,0,0,0,192,32
3,3,672,32,166,26,0
3,4,228,32,100,92,0
3,5,56,30,36,156,2
3,6,15,25,15,177,7
3,7,7,22,12,180,10
3,8,3,17,7,185,15
3,9,1,9,3,189,23
3,10,0,0,0,192,32
3,11,0,0,0,192,32
3,12,0,0,0,192,32
3,13,0,0,0,192,32
3,14,0,0,0,192,32
3,15,0,0,0,192,32
3,16,0,0,0,192,32
3,17,0,0,0,192,32
3,18,0,0,0,192,32
3,19,0,0,0,192,32
3,20,0,0,0,192,32
2,3,409,31,121,71,1
2,4,130,31,56,136,1
2,5,28,26,21,171,6
2,6,7,21,9,183,11
2,7,2,11,4,188,21
2,8,1,8,2,190,24
2,9,0,0,0,192,32
2,10,0,0,0,192,32
2,11,0,0,0,192,32
2,12,0,0,0,192,32
2,13,0,0,0,192,32
2,14,0,0,0,192,32
2,15,0,0,0,192,32
2,16,0,0,0,192,32
2,17,0,0,0,192,32
2,18,0,0,0,192,32
2,19,0,0,0,192,32
2,20,0,0,0,192,32
1,3,190,30,51,141,2
1,4,48,29,20,172,3
1,5,9,20,8,184,12
1,6,3,13,3,189,19
1,7,0,0,0,192,32
1,8,0,0,0,192,32
1,9,0,0,0,192,32
1,10,0,0,0,192,32
1,11,0,0,0,192,32
1,12,0,0,0,192,32
1,13,0,0,0,192,32
1,14,0,0,0,192,32
1,15,0,0,0,192,32
1,16,0,0,0,192,32
1,17,0,0,0,192,32
1,18,0,0,0,192,32
1,19,0,0,0,192,32
1,20,0,0,0,192,32
0,3,54,27,0,192,5
0,4,12,23,0,192,9
0,5,0,0,0,192,32
0,6,0,0,0,192,32
0,7,0,0,0,192,32
0,8,0,0,0,192,32
0,9,0,0,0,192,32
0,10,0,0,0,192,32
0,11,0,0,0,192,32
0,12,0,0,0,192,32
0,13,0,0,0,192,32
0,14,0,0,0,192,32
0,15,0,0,0,192,32
0,16,0,0,0,192,32
0,17,0,0,0,192,32
0,18,0,0,0,192,32
0,19,0,0,0,192,32
0,20,0,0,0,192,32
